Accuracy,Loss,Classification_Loss,Robustness_Loss,Concept_Loss,Step
0.109375,3.3809595108032227,2.2930166721343994,7.893725395202637,1.0871535539627075,1
0.3515625,2.772077798843384,1.7812442779541016,9.875089645385742,0.9898459315299988,101
0.484375,2.210932731628418,1.419313907623291,25.76751708984375,0.789042055606842,201
0.625,1.9387174844741821,1.1655980348587036,32.595176696777344,0.7698599100112915,301
0.3984375,3.2471461296081543,2.4963953495025635,41.830142974853516,0.7465677261352539,352
0.109375,3.3809595108032227,2.2930166721343994,7.893725395202637,1.0871535539627075,1
0.109375,3.3809595108032227,2.2930166721343994,7.893725395202637,1.0871535539627075,1
0.109375,3.3809595108032227,2.2930166721343994,7.893725395202637,1.0871535539627075,1
0.109375,3.3809595108032227,2.2930166721343994,7.893725395202637,1.0871535539627075,1
0.390625,2.7948529720306396,1.8045355081558228,9.820050239562988,0.9893354177474976,101
0.484375,2.210021495819092,1.4204334020614624,24.658716201782227,0.7871221899986267,201
0.546875,1.982189655303955,1.2090119123458862,32.574180603027344,0.7699203491210938,301
0.4140625,3.0510191917419434,2.3014676570892334,45.23632049560547,0.7450279593467712,352
0.5390625,1.8486042022705078,1.1866164207458496,39.13679885864258,0.6580742001533508,452
0.6640625,1.5755398273468018,0.9541519284248352,54.46527099609375,0.6159414052963257,552
0.6484375,1.5416386127471924,0.9829952716827393,44.285404205322266,0.5542147159576416,652
0.421875,2.755544900894165,2.0783042907714844,47.339210510253906,0.6725065112113953,703
0.640625,1.5436317920684814,0.957490086555481,47.02328109741211,0.5814394354820251,803
0.6640625,1.4858945608139038,0.9250510931015015,52.403709411621094,0.5556030869483948,903
0.7109375,1.3748997449874878,0.805439829826355,60.28632354736328,0.5634312629699707,1003
0.46875,2.25490665435791,1.6309821605682373,45.660926818847656,0.619358479976654,1054
0.65625,1.5311553478240967,0.9367267489433289,60.35856246948242,0.5883927345275879,1154
0.7578125,1.2312085628509521,0.6771377325057983,55.724002838134766,0.5484984517097473,1254
0.7265625,1.3682790994644165,0.7451838254928589,62.527523040771484,0.61684250831604,1354
0.5390625,1.9496772289276123,1.3362066745758057,44.693336486816406,0.6090013384819031,1405
0.7265625,1.244718313217163,0.7131631374359131,72.2255859375,0.524332582950592,1505
0.7109375,1.3885867595672607,0.78509521484375,58.43171310424805,0.5976483225822449,1605
0.828125,1.165045976638794,0.6119492650032043,56.70505142211914,0.5474262237548828,1705
0.53125,1.9765716791152954,1.3438334465026855,45.96161651611328,0.6281421184539795,1756
0.8203125,1.1154340505599976,0.6082661151885986,67.99928283691406,0.5003679990768433,1856
0.8359375,1.0152884721755981,0.4748613238334656,66.49532318115234,0.53377765417099,1956
0.7734375,1.2133904695510864,0.6495956182479858,70.05646514892578,0.556789219379425,2056
0.6640625,1.729324460029602,1.1105645895004272,34.5227165222168,0.6153075695037842,2107
0.75,1.1909716129302979,0.6437460780143738,84.66818237304688,0.5387586355209351,2207
0.78125,1.0860979557037354,0.535843014717102,71.01557159423828,0.5431533455848694,2307
0.8203125,1.0997910499572754,0.5663170218467712,74.12627410888672,0.5260614156723022,2407
0.6171875,1.8028290271759033,1.1818963289260864,44.002593994140625,0.6165323853492737,2458
0.8203125,1.1300666332244873,0.5713208317756653,71.12049865722656,0.5516338348388672,2558
0.8359375,0.9935568571090698,0.47373831272125244,68.01618957519531,0.513016939163208,2658
0.875,0.9368233680725098,0.3967057764530182,62.07191848754883,0.5339103937149048,2758
0.6796875,1.6268806457519531,1.0325149297714233,42.98756790161133,0.5900669693946838,2809
0.8671875,0.9368095993995667,0.41522282361984253,109.5176010131836,0.5106350183486938,2909
0.7890625,1.1136767864227295,0.5523149371147156,68.37505340576172,0.554524302482605,3009
0.8046875,0.978826642036438,0.4536552131175995,75.66502380371094,0.5176048874855042,3109
0.734375,1.463374376296997,0.8443478941917419,43.57927703857422,0.6146685481071472,3160
0.859375,0.9355299472808838,0.3959222137928009,80.65669250488281,0.5315420627593994,3260
0.8828125,0.9072065949440002,0.3341745138168335,77.64518737792969,0.5652675628662109,3360
0.8359375,1.0630512237548828,0.5122796297073364,75.03717803955078,0.5432679653167725,3460
